company,percentage,demographics,job_category
eBay,2.6,Hispanic_or_Latino,Professionals
Nvidia,2.8,Hispanic_or_Latino,Professionals
Uber,3.5,Hispanic_or_Latino,Professionals
Square,3.5,Hispanic_or_Latino,Professionals
Pinterest,3.6,Hispanic_or_Latino,Professionals
Salesforce,3.9,Hispanic_or_Latino,Professionals
PayPal,4,Hispanic_or_Latino,Professionals
MobileIron,4.1,Hispanic_or_Latino,Professionals
Facebook,4.2,Hispanic_or_Latino,Professionals
NetApp,4.2,Hispanic_or_Latino,Professionals
Twitter,4.3,Hispanic_or_Latino,Professionals
Adobe,4.5,Hispanic_or_Latino,Professionals
Google,4.6,Hispanic_or_Latino,Professionals
Cisco,4.7,Hispanic_or_Latino,Professionals
LinkedIn,5,Hispanic_or_Latino,Professionals
Apple,5.1,Hispanic_or_Latino,Professionals
Airbnb,5.2,Hispanic_or_Latino,Professionals
HPE,5.9,Hispanic_or_Latino,Professionals
Intuit,5.9,Hispanic_or_Latino,Professionals
Intel,6.3,Hispanic_or_Latino,Professionals
HP Inc.,6.5,Hispanic_or_Latino,Professionals
Sanmina,6.6,Hispanic_or_Latino,Professionals
23andMe,7.1,Hispanic_or_Latino,Professionals
Lyft,7.2,Hispanic_or_Latino,Professionals
View,7.8,Hispanic_or_Latino,Professionals
eBay,37.6,White,Professionals
Nvidia,41.1,White,Professionals
PayPal,43.7,White,Professionals
Intel,43.9,White,Professionals
LinkedIn,44.2,White,Professionals
MobileIron,45.1,White,Professionals
Pinterest,46,White,Professionals
Facebook,47,White,Professionals
Cisco,47.4,White,Professionals
Intuit,48.2,White,Professionals
Airbnb,49.9,White,Professionals
Apple,50.2,White,Professionals
Uber,50.5,White,Professionals
View,52.7,White,Professionals
Google,53.5,White,Professionals
Twitter,53.9,White,Professionals
Adobe,57.1,White,Professionals
Lyft,57.2,White,Professionals
Salesforce,57.4,White,Professionals
23andMe,58,White,Professionals
NetApp,58.3,White,Professionals
Square,60.1,White,Professionals
Sanmina,67.4,White,Professionals
HPE,71,White,Professionals
HP Inc.,72.4,White,Professionals
eBay,0.8,Black_or_African_American,Professionals
Nvidia,0.9,Black_or_African_American,Professionals
